257	99.8	99.8	99.4	79.45	122.5	28.9875	39.8	609.75	579.2	0.825
259	705.2	99.8	79.5	79.5	135.85	120.9	53	565.85	607.625	0.825
261	751.3	99.8	59.6	29.8	109.3	22.375	46.3	553.05	565.375	0.825
263	577.6	99.8	125.9	109.3	155.575	36.4375	0	562.8	587.025	0
264	99.8	99.8	92.6	19.9	152.275	151.5	26.5	595.15	261.35	583.2
266	591.9	99.8	86	0	186.725	148.9875	0	546.05	185.475	597.675
267	738.1	99.8	59.6	6.6	195.4	119.975	0	546.15	304.025	0.825
269	705.2	99.8	52.9	3.3	147.3	113.3625	0	377.05	623.475	460.9625
271	99.8	99.8	92.6	3.3	130.85	117.5375	0	602.1	526.425	596.25
273	704.8	99.8	59.6	3.3	221.325	67.9125	0	602.95	616.575	0.825
275	259.3	99.8	92.8	6.6	165.325	80.2875	0	273.3	615.55	1.65
277	671.6	99.8	0	3.3	191.95	62.1	0	560.3	599.925	0.825
278	711.8	99.8	0	0	223.025	95.2125	0	557.5	613.625	565.6375
280	744.1	99.8	0	0	180.375	88.55	0	506.6	620.625	0
281	731.3	99.8	6.6	3.3	190.3	28.975	0	664.8	608.65	0
283	698.6	99.8	0	0	204.925	58.7875	0	548.25	539.925	0.825
285	492.3	99.8	0	3.3	223.475	66.2375	0	707.8	474.275	589.85
286	632	99.8	0	0	196.7	57.9625	0	608.75	628.95	0
288	665	99.8	0	0	197.125	57.925	0	446.45	535.675	0
290	765.1	99.8	0	0	149.05	49.6875	0	552.5	631.4	0.825
292	711.2	99.8	0	0	197.075	53.8125	0	572.95	554.6	0.825
294	691.9	99.8	0	0	170.45	28.9875	0	394.1	634.025	0.825
296	99.8	99.8	0	0	218.425	48.8625	0	401.1	613.6	0
298	764.9	99.8	0	0	221.675	22.375	0	400	605.35	563.2625
300	585	99.8	0	0	165.45	36.4375	0	566.2	627.825	510.85
302	578.8	106.4	0	0	201.925	11.5875	0	380.9	616.7	0
304	644.8	99.8	0	0	173.725	4.9625	0	609.75	630.775	0
306	498.5	106.4	0	0	205.3	64.575	0	565.85	597.8	0.825
308	366	99.8	0	0	195.325	18.2125	0	384	627.175	0
310	99.8	99.8	0	0	144.1	28.975	0	562.8	627.05	605.0125
312	99.8	99.8	0	0	89.425	14.075	0	602.4	607.75	615.25
314	99.8	99.8	0	3.3	108.7	22.325	0	583.7	618.8	603.6
316	99.8	99.8	0	0	120.925	13.25	0	740.85	604.3	0.825
317	99.8	99.8	6.6	0	124.225	28.975	0	273.95	615.175	1.65
319	99.8	99.8	0	0	107.65	0.825	0	549.45	589.175	598.35
321	99.8	99.8	0	0	39.75	24.0375	0	459.6	311.925	594.125
323	99.8	99.8	0	0	54.675	3.3	0	582.6	612.875	0
325	99.8	99.8	0	0	74.55	14.9	0	539.75	610.75	0.825
327	99.8	99.8	0	3.3	44.7	31.4625	0	582.8	612.025	1.65
329	99.8	99.8	0	0	13.25	63.775	0	598.05	539.7	0
331	0	99.8	0	0	36.45	5.8	0	707.8	622.25	0
333	20	99.8	0	0	23.2	0.825	0	584.85	601.425	1.65
335	99.8	99.8	0	0	41.4	0	0	584.7	585.4	0.825
337	2.9	99.8	0	0	26.5	0.825	0	592.3	620.475	348.425
338	99.8	99.8	0	3.3	21.525	0	0	377.35	483.05	2.475
340	99.8	99.8	0	6.65	19.85	0	0	536.2	536.375	260.625
342	99.8	99.8	0	3.3	18.2	11.6	0	588.4	609.2	0
344	106.4	106.4	0	3.3	18.2	14.9	0	400	619.175	139
346	99.8	99.8	6.6	0	14.875	0	0	397.55	636.475	0
347	0	99.8	0	0	4.975	0	0	400	632.425	61.3
