Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
440	99.8	99.8	122.5	105.4	0	0	200	0	1.65	0.825
442	99.8	99.8	150.8	105.3	1.65	0	200	0	1.65	0.825
444	99.8	99.8	165.2	108.85	0	0	200	0	1.65	0.825
445	99.8	99.8	156.4	92.6	3.3	0	200	0	1.65	0.825
447	99.8	99.8	122.2	111.2	1.65	0	200	0	1.65	0.825
448	99.8	99.8	128.3	98.95	0	0	200	0	1.65	0.825
449	99.8	99.8	158.7	111.25	1.65	0	200	3.3	1.65	0.825
451	99.8	99.8	158.3	101.7	3.325	0	200	0	1.65	0.825
453	99.8	99.8	125.5	118.85	0	0	200	0	1.65	0.825
454	99.8	99.8	138.5	105.7	3.325	0	200	0	1.65	0.825
455	99.8	99.8	103.7	109.35	1.65	0	200	0	1.65	0.825
456	99.8	99.8	104.5	109.3	0	0	200	0	1.65	0.825
458	99.8	99.8	149.9	99.2	1.65	0	200	0	1.65	0.825
460	99.8	99.8	157	119	0	0	200	3.3	1.65	0.825
461	99.8	99.8	112.4	109.1	3.3	0	200	0	1.65	0.825
463	99.8	106.5	114.3	119.2	0	0	200	0	1.65	0.825
465	99.8	99.8	154	105.75	4.95	0	200	0	1.65	0.825
467	99.8	99.8	154.7	99.1	0	0	200	0	1.65	0.825
469	99.8	99.7	125.7	95.4	1.65	0	200	0	1.65	0.825
470	99.8	99.8	130.6	89.5	3.3	0	200	0	1.65	0.825
472	99.8	99.8	125.7	115.9	0	0	200	0	1.65	0.825
474	99.8	99.8	157.1	99.3	0	0	200	0	1.65	0.825
476	99.7	99.8	98.1	115.55	0	0	200	3.3	1.65	0.825
477	99.8	133	132.2	112.4	1.65	0	200	0	1.65	0.825
479	99.8	99.8	162.4	99.35	0	0	200	0	1.65	0.825
481	99.8	99.8	129.6	119.2	0	0	200	6.65	1.65	0.825
482	99.8	106.4	127.9	92.55	0	0	200	0	1.65	0.825
483	99.8	99.8	104	105.85	1.65	0	200	0	1.65	0.825
484	99.8	99.8	113	111.4	0	0	200	0	1.65	0.825
486	99.8	99.8	125.8	111.7	0	0	200	0	1.65	0.825
488	99.8	99.8	158.8	110.45	0	0	200	3.3	1.65	0.825
489	99.8	99.8	117.1	89.05	0	0	200	3.3	1.65	0.825
