Time	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
579	18281	20726.25	14722.25
580	18281	20727.25	14694.125
582	18159.5	20660.5	14694.125
583	18159.5	20660.5	14665.75
585	17233	20660.5	14694.125
586	16856.5	20660.5	14694.125
587	16856.5	20660.5	14722.5
588	16856.5	20660.5	14722.5
589	16856.5	20660.5	14722.5
590	16856.5	20660.5	14722.5
592	16610.5	20660.5	14750.625
593	16610.5	20660.5	14722.25
594	16610.5	20660.5	14722.25
596	16610.5	20660.5	14722.25
598	16610.5	20660.5	15300.5
600	16610.5	20527.5	17224.75
602	16610.5	20527.5	17410.75
603	16610.5	20527.5	17443.625
604	16610.5	20527.5	18103.75
606	16733	20527.5	18490.25
607	16733	20527.5	18812.75
608	16733	20527.5	18971.375
610	16489	20527.5	19104.375
611	16489	20527.5	19298.375
613	16489	20527.5	19331.25
615	16489	19199.25	19331.25
616	16489	19199.25	19364.125
618	16489	19199.25	19397.25
620	16489	19257.5	19397.25
621	16489	19257.5	19397.25
623	16489	19257.5	19397.25
624	16489	19257.5	19397.25
625	16489	18484.75	19364.375
626	16489	18350.75	19398.125
627	16489	18417.5	19398.25
628	16489	18484.75	19398.25
629	16489	18484.75	19431.625
631	16489	18484.75	19431.625
632	16489	18551.5	19431.625
633	16489	18551.5	19397.75
634	16489	18551.5	19364.125
636	16489	18551.5	19364.125
637	16489	18551.5	19364.125
639	16247	18484.75	19397.25
640	16247	18551	19364.125
641	16247	18419	19364.125
642	16247	17911	19364.125
643	16247	17609.75	19364.125
645	16126.5	17609.75	19364.125
646	16126.5	17609.75	19364.125
647	16126.5	17609.75	19364.125
649	16126.5	17609.75	19364.125
650	16126.5	17609.75	19430.625
652	16007	17609.75	19430.625
653	16007	17609.75	19430.625
655	16007	17609.75	19430.625
656	16007	17609.75	19430.625
658	16007	17609.75	19364.125
659	16007	17609.75	19364.125
660	16007	17609.75	19364.125
661	16007	17609.75	19364.125
662	16007	17609.75	19364.125
664	16007	17609.75	19363.875
666	16127.5	17609.75	19363.875
667	16127.5	17609.75	19363.875
668	16249	17609.75	19363.625
670	16249	17609.75	19297.375
671	16371.5	17609.75	19429.875
672	16371.5	17609.75	19430.125
674	16371.5	17609.75	19529.75
675	16371.5	17609.75	19529.75
677	16371.5	17609.75	19463.75
678	16371.5	17609.75	19430.375
679	16371.5	17609.75	19497.375
680	16371.5	17609.75	19563.375
682	16371.5	17609.75	19596.25
683	16371.5	17609.75	19596.25
684	16371.5	17609.75	19596.25
685	16371.5	17609.75	19497.125
687	16371.5	17609.75	19530.25
688	16371.5	17609.75	19530.25
689	16371.5	17609.75	19631.125
691	16371.5	17609.75	19631.125
692	16371.5	17609.75	19697.625
694	16371.5	17609.75	19765.375
695	16371.5	17609.75	19765.375
697	16371.5	17609.75	19798.5
698	16495	17609.75	19765.125
699	16495	17609.75	19765.125
700	16371.5	17609.75	19732
701	16371.5	17609.75	19732
703	16371.5	17609.75	19732
705	16371.5	17609.75	19764.375
707	16491	17609.75	19763.875
708	16491	17609.75	19763.875
709	16491	17609.75	19797.25
710	16491	17609.75	19864.25
712	16253	17609.75	19864.25
713	16376.5	17609.75	19864.25
714	16376.5	17609.75	19864.25
715	16376.5	17609.75	19864.25
716	16376.5	17609.75	19830.875
718	16376.5	17609.75	19797.75
719	16376.5	17609.75	19797.75
720	16376.5	17609.75	19864.75
722	16376.5	17609.75	19898.375
723	16376.5	17609.75	19898.125
724	16376.5	17609.75	19931.75
725	16376.5	17609.75	19931.75
726	16495	17609.75	19965.125
728	16495	17609.75	19999.75
730	16249	17609.75	19933.5
731	16249	17609.75	19900.875
733	16249	17609.75	19866.75
734	16249	17609.75	19900.625
