Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
505	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
506	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
508	31.2	31.2	92.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
509	31.2	31.2	92	74.05	28.05	5.4625	87.9	75	25.05	3.925
510	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
511	31.2	31.2	92	73.65	28.05	5.4625	87.9	75	25.05	3.925
512	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
513	31.2	31.2	91.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
514	31.2	31.2	92.9	74.05	28.05	5.4625	87.9	75	25.05	3.925
515	31.2	31.2	92	74.05	28.05	5.4625	87.9	75	25.05	3.925
516	31.2	31.2	92	73.65	28.05	5.4625	87.9	75	25.05	3.925
517	31.2	31.2	92	74.05	28.05	5.4625	87.9	75	25.05	3.925
518	31.2	31.2	92.5	73.3	28.05	5.4625	87.9	75	25.05	3.925
519	31.1	31.1	93.1	73.95	28.05	5.4625	87.9	75	25.05	3.925
520	31.1	31.1	92.5	73.95	28.05	5.4625	87.9	75	25.05	3.925
521	31.1	31.1	92.5	73.95	28.05	5.4625	87.9	75	25.05	3.925
522	31.1	31.1	92.5	73.95	28.05	5.4625	87.9	75	25.05	3.925
523	31.1	31.1	92.5	73.3	28.05	5.4625	87.9	75	25.05	3.925
524	31.1	31.1	92.5	73.95	28.05	5.4625	87.9	75	25.05	3.925
525	31.2	31.2	93.1	73.95	28.05	5.4625	87.9	75	25.05	3.925
527	31.1	31.1	92.5	73.95	28.05	5.4625	87.9	75	25.05	3.925
528	31.1	31.1	92.6	73.95	28.05	5.4625	87.9	75	25.05	3.925
529	31.1	31.1	92.6	73.3	28.05	5.4625	87.9	75	25.05	3.925
530	31.1	31.1	93.2	73.95	28.05	5.4625	87.9	75	25.05	3.925
531	31.1	31.1	92.6	73.3	28.05	5.4625	87.9	75	25.05	3.925
532	31.2	31.2	92.6	73.95	28.05	5.4625	87.9	75	25.05	3.925
533	31.1	31.1	92.6	73.95	28.05	5.4625	87.9	75	25.05	3.925
534	31.1	31.1	92.6	73.65	28.05	5.4625	87.9	75	25.05	3.925
535	31.1	31.1	92.6	73.3	28.05	5.4625	87.9	75	25.05	3.925
536	31.1	31.1	93.2	73.65	28.05	5.4625	87.9	75	25.05	3.925
537	31.1	31.1	92.6	73.65	28.05	5.4625	87.9	75	25.05	3.925
538	31.1	31.1	92.6	73.65	28.05	5.4625	87.9	75	25.05	3.925
